,precision,recall,f1-score,support
0,0.9786962079250107,0.9570833333333333,0.9677691173372657,2400.0
1,0.9402862985685072,0.9579166666666666,0.9490196078431372,2400.0
2,0.9441727791361043,0.9654166666666667,0.9546765554182118,2400.0
3,0.9615384615384616,0.9166666666666666,0.9385665529010239,2400.0
4,0.956738768718802,0.9583333333333334,0.9575353871773522,2400.0
5,0.9387163561076605,0.9445833333333333,0.9416407061266875,2400.0
6,0.9357084357084358,0.9520833333333333,0.9438248657579512,2400.0
7,0.9769722814498933,0.9545833333333333,0.9656480505795574,2400.0
8,0.931939319393194,0.9470833333333334,0.9394502996486878,2400.0
9,0.9516728624535316,0.96,0.955818294959552,2400.0
accuracy,0.951375,0.951375,0.951375,0.951375
macro avg,0.9516441770999601,0.9513749999999999,0.9513949437749426,24000.0
weighted avg,0.9516441770999603,0.951375,0.9513949437749426,24000.0
